BRANCH_TYPE	BRANCH_CODE	CLIENT_DB	CLIENT_HOST
MAXTPW	2967	pos{BRANCH_CODE}	m2899
MAXTPW	2968	pos{BRANCH_CODE}	m2899
MAXTPW	2969	pos	M{BRANCH_CODE}_01
MAXTPW	2970	pos	M{BRANCH_CODE}_01
MAXICD	2975	pos	M{BRANCH_CODE}
MAXICD	2976	pos	M{BRANCH_CODE}
MAXICD	2978	pos2978	M2976_01
MAXICD	2979	pos	M{BRANCH_CODE}_01
MAXCAK	3181	pos	M{BRANCH_CODE}_01
MAXCAK	3185	pos	M{BRANCH_CODE}_01
MAXCAK	3186	pos	M{BRANCH_CODE}_01
MAXCAK	3187	pos	M{BRANCH_CODE}_01
MAXCAK	3188	pos	M{BRANCH_CODE}_01
MAXCAK	3197	pos	M{BRANCH_CODE}_01
MAXCAK	3206	pos	M{BRANCH_CODE}
MAXCAK	3212	pos	M{BRANCH_CODE}_01
MAXCAK	3215	pos	M{BRANCH_CODE}_01
MAXCAK	3216	pos	M{BRANCH_CODE}_01
MAXCAK	3217	pos	M{BRANCH_CODE}_01
MAXCAK	3218	pos	M{BRANCH_CODE}_01
MAXCAK	3220	pos	M{BRANCH_CODE}_01
MAXCAK	3221	pos	M{BRANCH_CODE}_01
MAXCAK	3222	pos	M{BRANCH_CODE}_01
MAXCAK	3224	pos	M03224_01
MAXCAK	3227	pos	M{BRANCH_CODE}_01
MAXCAK	3230	pos	M{BRANCH_CODE}_01
MAXCAK	3231	pos	M{BRANCH_CODE}_01
MAXCAK	3232	pos	M{BRANCH_CODE}_01
MAXCAK	3233	pos	M{BRANCH_CODE}_01
MAXCAK	3234	pos	M{BRANCH_CODE}_01
MAXCAK	3235	pos	M{BRANCH_CODE}_01
MAXCAK	3236	pos	M{BRANCH_CODE}_01
MAXCAK	3238	pos	M{BRANCH_CODE}_01
MAXCAK	3239	pos	M{BRANCH_CODE}_01
MAXCAK	3241	pos	M{BRANCH_CODE}_01
MAXCAK	3244	pos	M{BRANCH_CODE}_01
MAXCAK	3245	pos	M{BRANCH_CODE}_01
MAXCAK	3247	pos	M{BRANCH_CODE}_01
MAXCAK	3251	pos	M{BRANCH_CODE}_01
MAXCAK	3252	pos	M{BRANCH_CODE}_01
MAXCAK	3255	pos	M{BRANCH_CODE}_01
MAXCAK	3256	pos	M{BRANCH_CODE}_01
MAXCAK	3257	pos	M{BRANCH_CODE}_01
MAXCAK	3258	pos	M{BRANCH_CODE}_01
MAXCAK	3261	pos	M{BRANCH_CODE}_01
MAXCAK	3262	pos	M{BRANCH_CODE}_01
MAXCAK	3265	pos	M{BRANCH_CODE}_01
MAXCAK	3266	pos	M{BRANCH_CODE}_01
MAXCAK	3268	pos	M{BRANCH_CODE}_01
MAXCAK	3269	pos	M{BRANCH_CODE}_01
MAXCAK	3270	pos	M{BRANCH_CODE}_01
MAXCAK	3275	pos	M{BRANCH_CODE}_01
MAXCAK	3276	pos	M{BRANCH_CODE}_01
MAXCAK	3277	pos	M{BRANCH_CODE}_01
MAXCAK	3278	pos	M{BRANCH_CODE}_01
MAXCAK	3279	pos	M{BRANCH_CODE}_01
MAXCAK	3280	pos	M{BRANCH_CODE}_01
MAXCAK	3281	pos	M{BRANCH_CODE}_01
MAXCAK	3283	pos	M{BRANCH_CODE}_01
MAXCAK	3284	pos	M{BRANCH_CODE}_01
MAXCAK	3285	pos	M{BRANCH_CODE}_01
MAXCAK	3286	pos	M{BRANCH_CODE}_01
MAXCAK	3287	pos	M{BRANCH_CODE}_01
MAXCAK	3289	pos	M{BRANCH_CODE}_01
MAXCAK	3290	pos	M{BRANCH_CODE}_01
MAXCAK	3291	pos	M{BRANCH_CODE}_01
MAXCAK	3292	pos	M{BRANCH_CODE}_01
MAXCAK	3293	pos	M{BRANCH_CODE}_01
MAXCAK	3295	pos	M{BRANCH_CODE}_01
MAXEXP	2375	pos	M{BRANCH_CODE}
MAXICD	2957	pos	M{BRANCH_CODE}
MAXFFS	1282	pos	M{BRANCH_CODE}
MAXEXP	1296	pos	M{BRANCH_CODE}
MAXFFS	2206	pos	M{BRANCH_CODE}
MAXFFS	2216	pos	M{BRANCH_CODE}
MAXFFS	2220	pos	M{BRANCH_CODE}
MAXFFS	2221	pos	M{BRANCH_CODE}
MAXFFS	2222	pos	M{BRANCH_CODE}
MAXFFS	2224	pos	M{BRANCH_CODE}
MAXFFS	2226	pos	M{BRANCH_CODE}
MAXFFS	2227	pos	M{BRANCH_CODE}
MAXFFS	2228	pos	M{BRANCH_CODE}
MAXFFS	2229	pos	M{BRANCH_CODE}
MAXFFS	2240	pos	M{BRANCH_CODE}
MAXFFS	2241	pos	M{BRANCH_CODE}
MAXFFS	2247	pos	M{BRANCH_CODE}
MAXFFS	2250	pos	M{BRANCH_CODE}
MAXFFS	2256	pos	M{BRANCH_CODE}
MAXFFS	2265	pos	M{BRANCH_CODE}
MAXFFS	2266	pos	M{BRANCH_CODE}
MAXFFS	2267	pos	M{BRANCH_CODE}
MAXFFS	2268	pos	M{BRANCH_CODE}
MAXFFS	2282	pos	M{BRANCH_CODE}
MAXFFS	2291	pos	M{BRANCH_CODE}
MAXFFS	2301	pos	M{BRANCH_CODE}
MAXFFS	2306	pos	M{BRANCH_CODE}
MAXFFS	2309	pos	M{BRANCH_CODE}
MAXFFS	2313	pos	M{BRANCH_CODE}
MAXFFS	2315	pos	M{BRANCH_CODE}
MAXFFS	2318	pos	M{BRANCH_CODE}
MAXFFS	2319	pos	M{BRANCH_CODE}
MAXFFS	2320	pos	M{BRANCH_CODE}
MAXFFS	2321	pos	M{BRANCH_CODE}
MAXFFS	2323	pos	M{BRANCH_CODE}
MAXFFS	2326	pos	M{BRANCH_CODE}
MAXFFS	2333	pos	M{BRANCH_CODE}
MAXFFS	2337	pos	M{BRANCH_CODE}
MAXFFS	2343	pos	M{BRANCH_CODE}
MAXFFS	2352	pos	M{BRANCH_CODE}
MAXFFS	2354	pos	M{BRANCH_CODE}
MAXFFS	2359	pos	M{BRANCH_CODE}
MAXFFS	2360	pos	M{BRANCH_CODE}
MAXFFS	2361	pos	M{BRANCH_CODE}
MAXFFS	2362	pos	M{BRANCH_CODE}
MAXFFS	2365	pos	M{BRANCH_CODE}
MAXFFS	2367	pos	M{BRANCH_CODE}
MAXFFS	2369	pos	M{BRANCH_CODE}
MAXFFS	2370	pos	M{BRANCH_CODE}
MAXFFS	2371	pos	M{BRANCH_CODE}
MAXFFS	2373	pos	M{BRANCH_CODE}
MAXFFS	2376	pos	M{BRANCH_CODE}
MAXFFS	2377	pos	M{BRANCH_CODE}
MAXFFS	2379	pos	M{BRANCH_CODE}
MAXFFS	2382	pos	M{BRANCH_CODE}
MAXFFS	2383	pos	M{BRANCH_CODE}
MAXEXP	2385	pos	M{BRANCH_CODE}
MAXFFS	2386	pos	M{BRANCH_CODE}
LRSICD	2602	pos	M{BRANCH_CODE}
LRSICD	2603	pos	M{BRANCH_CODE}
LRSICD	2605	pos	M{BRANCH_CODE}
LRSICD	2606	pos	M{BRANCH_CODE}
LRSICD	2607	pos	M{BRANCH_CODE}
MAXICD	2707	pos	M{BRANCH_CODE}_01
MAXICD	2802	pos	M{BRANCH_CODE}
MAXICD	2803	pos	M{BRANCH_CODE}
MAXCAK	3461	pos	M{BRANCH_CODE}_01
MAXCAK	3471	pos	M{BRANCH_CODE}_01
MAXICD	2980	pos	M{BRANCH_CODE}
SBSSBS	4487	pos	M{BRANCH_CODE}
SBSSBS	4430	pos	M{BRANCH_CODE}
SBSSBS	4431	pos	M{BRANCH_CODE}
SBSSBS	4432	pos	M{BRANCH_CODE}
SBSSBS	4433	pos	M{BRANCH_CODE}
SBSSBS	4434	pos	M{BRANCH_CODE}
SBSSBS	4435	pos	M{BRANCH_CODE}
SBSSBS	4436	pos	M{BRANCH_CODE}
SBSSBS	4437	pos	M{BRANCH_CODE}
SBSSBS	4438	pos	M{BRANCH_CODE}
SBSSBS	4439	pos	M{BRANCH_CODE}
SBSSBS	4442	pos	M{BRANCH_CODE}
SBSSBS	4444	pos	M{BRANCH_CODE}
SBSSBS	4445	pos	M{BRANCH_CODE}
SBSSBS	4446	pos	M{BRANCH_CODE}
SBSSBS	4448	pos	M{BRANCH_CODE}
SBSSBS	4449	pos	M{BRANCH_CODE}
SBSSBS	4450	pos	M{BRANCH_CODE}
SBSSBS	4452	pos	M{BRANCH_CODE}
SBSSBS	4453	pos	M{BRANCH_CODE}
SBSSBS	4454	pos	M{BRANCH_CODE}
SBSSBS	4455	pos	M{BRANCH_CODE}
SBSSBS	4457	pos	M{BRANCH_CODE}
SBSSBS	4458	pos	M{BRANCH_CODE}
SBSSBS	4460	pos	M{BRANCH_CODE}
SBSSBS	4461	pos	M{BRANCH_CODE}
SBSSBS	4462	pos	M{BRANCH_CODE}
SBSSBS	4463	pos	M{BRANCH_CODE}
SBSSBS	4464	pos	M{BRANCH_CODE}
SBSSBS	4465	pos	M{BRANCH_CODE}
SBSSBS	4466	pos	M{BRANCH_CODE}
SBSSBS	4467	pos	M{BRANCH_CODE}
SBSSBS	4468	pos	M{BRANCH_CODE}
SBSSBS	4469	pos	M{BRANCH_CODE}
SBSSBS	4470	pos	M{BRANCH_CODE}
SBSSBS	4471	pos	M{BRANCH_CODE}
SBSSBS	4472	pos	M{BRANCH_CODE}
SBSSBS	4473	pos	M{BRANCH_CODE}
SBSSBS	4474	pos	M{BRANCH_CODE}
SBSSBS	4475	pos	M{BRANCH_CODE}
SBSSBS	4476	pos	M{BRANCH_CODE}
SBSSBS	4477	pos	M{BRANCH_CODE}
SBSSBS	4478	pos	M{BRANCH_CODE}
SBSSBS	4479	pos	M{BRANCH_CODE}
SBSSBS	4480	pos	M{BRANCH_CODE}
SBSSBS	4481	pos	M{BRANCH_CODE}
SBSSBS	4483	pos	M{BRANCH_CODE}
SBSSBS	4484	pos	M{BRANCH_CODE}
SBSSBS	4601	pos	M{BRANCH_CODE}
SBSSBS	4603	pos	M{BRANCH_CODE}
SBSSBS	4605	pos	M{BRANCH_CODE}
SBSSBS	4609	pos	M{BRANCH_CODE}
SBSSBS	4610	pos	M{BRANCH_CODE}
SBSSBS	4615	pos	M{BRANCH_CODE}
SBSSBS	4616	pos	M{BRANCH_CODE}
SBSSBS	4621	pos	M{BRANCH_CODE}
SBSSBS	4626	pos	M{BRANCH_CODE}
SBSSBS	4635	pos	M{BRANCH_CODE}
SBSSBS	4638	pos	M{BRANCH_CODE}
SBSSBS	4639	pos	M{BRANCH_CODE}
SBSSBS	4644	pos	M{BRANCH_CODE}
SBSSBS	4645	pos	M{BRANCH_CODE}
SBSSBS	4646	pos	M{BRANCH_CODE}
